"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2019","     2065.40","     2067.10","     2052.85","     2061.15","       35656854","          432.61"
"02-Jan-2019","     2053.95","     2055.65","     2022.55","     2038.95","       71613812","          882.52"
"03-Jan-2019","     2036.85","     2036.90","     2001.20","     2004.10","       96463204","         1190.21"
"04-Jan-2019","     2005.15","     2034.85","     2005.15","     2031.65","       67257122","          735.40"
"07-Jan-2019","     2044.70","     2047.15","     2031.60","     2039.75","       87134357","         1074.31"
"08-Jan-2019","     2044.30","     2046.15","     2028.75","     2038.65","       65134066","          701.44"
"09-Jan-2019","     2041.80","     2046.80","     2015.55","     2024.15","       51221537","          582.32"
"10-Jan-2019","     2026.15","     2035.60","     2015.60","     2018.35","       65431169","          799.83"
"11-Jan-2019","     2023.65","     2032.35","     2019.45","     2025.30","       59828263","          722.18"
"14-Jan-2019","     2030.40","     2032.05","     2005.10","     2013.55","       43276482","          522.41"
"15-Jan-2019","     2022.45","     2033.00","     2017.45","     2030.50","       48987130","          603.09"
"16-Jan-2019","     2034.25","     2043.30","     2031.95","     2033.90","       40766430","          485.20"
"17-Jan-2019","     2039.40","     2047.10","     2026.60","     2031.50","       62685469","          774.89"
"18-Jan-2019","     2034.45","     2042.50","     2025.30","     2028.20","       41077960","          505.86"
"21-Jan-2019","     2035.15","     2035.80","     2000.95","     2006.00","       38938247","          492.23"
"22-Jan-2019","     2008.70","     2010.70","     1991.35","     1996.25","       47064516","          576.57"
"23-Jan-2019","     1999.65","     2006.10","     1978.60","     1981.45","       37102475","          456.86"
"24-Jan-2019","     1982.70","     1988.75","     1971.10","     1977.10","       36037459","          433.85"
"25-Jan-2019","     1981.35","     1996.95","     1961.85","     1965.55","       42421537","          509.42"
"28-Jan-2019","     1967.20","     1973.75","     1941.70","     1967.70","       38028194","          462.73"
"29-Jan-2019","     1969.65","     1978.50","     1955.20","     1966.20","       59452980","          715.15"
"30-Jan-2019","     1970.10","     1974.70","     1956.10","     1963.90","       80843618","         1020.05"
"31-Jan-2019","     1974.05","     1989.85","     1965.10","     1977.30","      188550605","         2411.56"
"01-Feb-2019","     1978.90","     1992.35","     1968.60","     1981.80","       45871059","          532.09"
"04-Feb-2019","     1980.20","     1989.85","     1961.75","     1970.10","       42692874","          533.18"
"05-Feb-2019","     1967.55","     1977.85","     1934.60","     1937.60","       47819726","          568.86"
"06-Feb-2019","     1931.40","     1976.05","     1929.40","     1968.80","       53270306","          629.99"
"07-Feb-2019","     1971.35","     1991.65","     1965.45","     1987.05","       42326845","          504.78"
"08-Feb-2019","     1978.45","     1991.05","     1926.90","     1932.55","       38815699","          471.60"
"11-Feb-2019","     1928.25","     1930.45","     1893.00","     1910.80","       63766470","          752.85"
"12-Feb-2019","     1915.90","     1943.90","     1915.20","     1925.85","       63639044","          809.61"
"13-Feb-2019","     1937.30","     1942.25","     1883.20","     1886.20","       76757812","         1006.95"
"14-Feb-2019","     1878.55","     1879.40","     1825.40","     1861.70","      168217306","         1929.55"
"15-Feb-2019","     1892.80","     1910.60","     1870.60","     1896.80","      142695540","         1749.44"
"18-Feb-2019","     1899.15","     1916.00","     1888.15","     1895.25","       61760219","          733.43"
"19-Feb-2019","     1895.85","     1919.95","     1895.55","     1901.10","       60874567","          747.01"
"20-Feb-2019","     1916.60","     1956.50","     1908.70","     1944.10","       81321842","         1016.90"
"21-Feb-2019","     1947.70","     1963.70","     1939.45","     1954.95","       62078322","          783.19"
"22-Feb-2019","     1965.30","     2000.30","     1959.10","     1996.30","       93784171","         1202.12"
"25-Feb-2019","     2002.10","     2003.25","     1968.55","     1998.90","      129769827","         1601.56"
